Tile_+045_+035_L19_0001150t3.fbx,4549.75,3549.75,4600.34,3600.34
Tile_+045_+036_L19_0000000.fbx,4588.17,3692.34,4600.34,3700.34
Tile_+045_+036_L19_0000100.fbx,4569.36,3691.39,4600.34,3700.34
Tile_+045_+036_L19_0000110t3.fbx,4499.66,3599.66,4550.25,3650.25
Tile_+045_+036_L19_0000120t3.fbx,4549.75,3599.66,4600.34,3650.25
Tile_+045_+036_L19_0000130t3.fbx,4499.66,3649.75,4550.25,3700.34
Tile_+045_+036_L19_0000140t4.fbx,4549.75,3649.75,4600.34,3700.34
Tile_+045_+037_L19_0000000t3.fbx,4499.66,3699.66,4550.25,3750.25
Tile_+045_+037_L19_0000010t4.fbx,4549.75,3699.66,4600.34,3750.25
Tile_+045_+037_L19_0000020t4.fbx,4499.66,3749.75,4550.25,3800.34
Tile_+045_+037_L19_0000030t3.fbx,4549.75,3749.75,4600.34,3800.34
Tile_+045_+038_L19_0000000t6.fbx,4499.66,3799.66,4550.25,3850.25
Tile_+045_+038_L19_0000010t4.fbx,4549.75,3799.66,4600.34,3850.25
Tile_+045_+038_L19_0000020t7.fbx,4499.66,3849.75,4550.25,3900.34
Tile_+045_+038_L19_0000030t7.fbx,4549.75,3849.75,4600.34,3900.34
Tile_+045_+039_L19_0000000t1.fbx,4504.3,3904.33,4551.77,3961.59
Tile_+045_+039_L19_0000010t7.fbx,4499.66,3899.66,4550.25,3950.25
Tile_+045_+039_L19_0000020t5.fbx,4549.75,3899.66,4600.34,3950.25
Tile_+045_+039_L19_0000030t7.fbx,4499.65,3949.75,4550.25,4000.34
Tile_+045_+039_L19_0000040t3.fbx,4549.75,3949.75,4600.34,4000.34
Tile_+046_+035_L19_0000000t4.fbx,4599.66,3499.66,4650.25,3550.25
Tile_+046_+035_L19_0000010t3.fbx,4649.75,3499.66,4700.34,3550.25
Tile_+046_+035_L19_0000020t4.fbx,4599.66,3549.75,4650.25,3600.34
Tile_+046_+035_L19_0000030t4.fbx,4649.75,3549.75,4700.34,3600.34
Tile_+046_+036_L19_0000000t3.fbx,4599.66,3599.66,4650.25,3650.25
Tile_+046_+036_L19_0000010t3.fbx,4649.75,3599.66,4700.34,3650.25
Tile_+046_+036_L19_0000020t3.fbx,4599.66,3649.75,4650.25,3700.34
Tile_+046_+036_L19_0000030t3.fbx,4649.75,3649.75,4700.34,3700.35
Tile_+046_+037_L19_0000000t4.fbx,4599.66,3699.66,4650.25,3750.25
Tile_+046_+037_L19_0000010t6.fbx,4649.75,3699.66,4700.34,3750.25
Tile_+046_+037_L19_0000020t5.fbx,4599.66,3749.75,4650.25,3800.34
Tile_+046_+037_L19_0000030t3.fbx,4649.75,3749.75,4700.34,3800.34
Tile_+046_+038_L19_0000000t3.fbx,4599.66,3799.66,4650.25,3850.25
Tile_+046_+038_L19_0000010t3.fbx,4649.75,3799.66,4700.34,3850.25
Tile_+046_+038_L19_0000020t6.fbx,4599.66,3849.75,4650.25,3900.34
Tile_+046_+038_L19_0000030t5.fbx,4649.75,3849.75,4700.34,3900.34
Tile_+046_+039_L19_0000000t6.fbx,4599.66,3899.66,4650.25,3950.25
Tile_+046_+039_L19_0000010t3.fbx,4649.75,3899.66,4700.34,3950.25
Tile_+046_+039_L19_0000020t6.fbx,4599.66,3949.75,4650.25,4000.34
Tile_+046_+039_L19_0000030t4.fbx,4649.75,3949.75,4700.34,4000.34
Tile_+047_+035_L19_0000000t3.fbx,4699.66,3499.66,4750.25,3550.25
Tile_+047_+035_L19_0000010t3.fbx,4749.75,3499.66,4800.34,3550.25
Tile_+047_+035_L19_0000020t3.fbx,4699.66,3549.75,4750.25,3600.34
Tile_+047_+035_L19_0000030t3.fbx,4749.75,3549.75,4800.34,3600.35
Tile_+047_+036_L19_0000000t3.fbx,4699.66,3599.66,4750.25,3650.25
Tile_+047_+036_L19_0000010t3.fbx,4749.75,3599.66,4800.34,3650.25
Tile_+047_+036_L19_0000020t3.fbx,4699.66,3649.75,4750.25,3700.34
Tile_+047_+036_L19_0000030t3.fbx,4749.75,3649.75,4800.34,3700.34
Tile_+047_+037_L19_0000000t4.fbx,4699.66,3699.66,4750.25,3750.25
Tile_+047_+037_L19_0000010t6.fbx,4699.66,3749.75,4750.25,3800.34
Tile_+047_+037_L19_0000020t4.fbx,4749.75,3749.75,4800.34,3800.34
Tile_+047_+037_L19_0000030.fbx,4749.75,3699.66,4800.34,3750.25
Tile_+047_+037_L19_0000040t3.fbx,4749.75,3699.66,4800.34,3750.25
Tile_+047_+038_L19_0000000t1.fbx,4759.41,3867.97,4777.08,3886.22
Tile_+047_+038_L19_0000010t1.fbx,4733.82,3874.61,4776.65,3896.74
Tile_+047_+038_L19_0000100t4.fbx,4720.78,3846.05,4777.6,3900.34
Tile_+047_+038_L19_0000110t1.fbx,4735.26,3813.46,4778.67,3853.51
Tile_+047_+038_L19_0000120t2.fbx,4716.67,3853.01,4754.95,3900.34
Tile_+047_+038_L19_0001000t2.fbx,4699.66,3849.75,4741.43,3900.34
Tile_+047_+038_L19_0001010t3.fbx,4699.66,3849.75,4742.09,3900.34
Tile_+047_+038_L19_0001020t1.fbx,4699.66,3826.41,4745.38,3850.25
Tile_+047_+038_L19_0001030t3.fbx,4744.88,3799.66,4789.42,3846.89
Tile_+047_+038_L19_0001040t1.fbx,4705.21,3826.67,4747.7,3850.25
Tile_+047_+038_L19_0001050.fbx,4747.2,3799.66,4792.03,3845.35
Tile_+047_+038_L19_0001100t3.fbx,4699.66,3849.75,4713.44,3900.34
Tile_+047_+038_L19_0001110t3.fbx,4699.66,3799.66,4750.25,3850.25
Tile_+047_+038_L19_0001120.fbx,4749.75,3799.66,4800.34,3825.54
Tile_+047_+038_L19_0001130t3.fbx,4699.66,3799.66,4750.25,3850.25
Tile_+047_+038_L19_0001140t3.fbx,4749.75,3799.66,4800.34,3850.25
Tile_+047_+038_L19_0001150t3.fbx,4699.66,3849.75,4750.25,3900.34
Tile_+047_+038_L19_0001160t4.fbx,4749.75,3849.75,4800.34,3900.34
Tile_+047_+039_L19_0000000t7.fbx,4699.66,3899.66,4750.25,3950.25
Tile_+047_+039_L19_0000010t7.fbx,4749.75,3899.66,4800.34,3950.25
Tile_+047_+039_L19_0000020t4.fbx,4699.66,3949.75,4750.25,4000.34
Tile_+047_+039_L19_0000030t3.fbx,4749.75,3949.75,4800.34,4000.34
Tile_+048_+034_L19_0000000t3.fbx,4799.66,3399.66,4850.25,3450.25
Tile_+048_+034_L19_0000010t3.fbx,4849.75,3399.66,4900.34,3450.25
Tile_+048_+034_L19_0000020t3.fbx,4799.66,3449.75,4850.25,3500.34
Tile_+048_+034_L19_0000030t3.fbx,4849.75,3449.75,4900.34,3500.34
Tile_+048_+035_L19_0000000t3.fbx,4799.66,3499.66,4850.25,3550.25
Tile_+048_+035_L19_0000010t3.fbx,4849.75,3499.66,4900.34,3550.25
Tile_+048_+035_L19_0000020t3.fbx,4799.66,3549.75,4850.25,3600.34
Tile_+048_+035_L19_0000030t3.fbx,4849.75,3549.75,4900.34,3600.34
Tile_+048_+036_L19_0000000t3.fbx,4799.66,3599.66,4850.25,3650.25
Tile_+048_+036_L19_0000010t3.fbx,4849.75,3599.66,4900.34,3650.25
Tile_+048_+036_L19_0000020t3.fbx,4799.66,3649.75,4850.25,3700.34
Tile_+048_+036_L19_0000030t3.fbx,4849.75,3649.75,4900.34,3700.34
Tile_+048_+037_L19_0000000.fbx,4829.67,3771.24,4839.4,3781.1
Tile_+048_+037_L19_0000100t2.fbx,4818.09,3754.3,4845.52,3790.82
Tile_+048_+037_L19_0000110.fbx,4811.82,3704.25,4837.88,3750.29
Tile_+048_+037_L19_0000120.fbx,4799.66,3749.79,4871.95,3800.34
Tile_+048_+037_L19_0001000t3.fbx,4799.66,3699.66,4831.5,3768.53
Tile_+048_+037_L19_0001010.fbx,4799.66,3699.66,4818.5,3770.01
Tile_+048_+037_L19_0001100t2.fbx,4799.66,3699.66,4806.83,3750.25
Tile_+048_+037_L19_0001110t2.fbx,4799.66,3749.75,4809.79,3789.05
Tile_+048_+037_L19_0001120t5.fbx,4799.66,3699.66,4850.25,3750.25
Tile_+048_+037_L19_0001130t3.fbx,4849.75,3699.66,4900.34,3750.25
Tile_+048_+037_L19_0001140t3.fbx,4799.66,3749.75,4850.25,3800.34
Tile_+048_+037_L19_0001150t3.fbx,4849.75,3749.75,4900.34,3800.34
Tile_+048_+038_L19_0000000t6.fbx,4799.66,3799.66,4850.25,3850.25
Tile_+048_+038_L19_0000010t3.fbx,4849.75,3799.66,4900.34,3850.25
Tile_+048_+038_L19_0000020t6.fbx,4799.66,3849.75,4850.25,3900.34
Tile_+048_+038_L19_0000030t4.fbx,4849.75,3849.75,4900.34,3900.34
Tile_+048_+039_L19_0000000t3.fbx,4799.66,3899.66,4850.25,3950.25
Tile_+048_+039_L19_0000010t1.fbx,4849.75,3902.94,4900.34,3950.25
Tile_+048_+039_L19_0000020t2.fbx,4799.66,3949.75,4850.25,4000.34
Tile_+048_+039_L19_0000030t1.fbx,4849.75,3949.75,4900.34,4000.34
Tile_+048_+039_L19_0000040t5.fbx,4799.66,3899.66,4850.25,3950.25
Tile_+048_+039_L19_0000050t6.fbx,4849.75,3899.66,4900.34,3950.25
Tile_+048_+039_L19_0000060t5.fbx,4799.66,3949.75,4850.25,4000.34
Tile_+048_+039_L19_0000070t3.fbx,4849.75,3949.75,4900.34,4000.34
Tile_+049_+035_L19_0000000t3.fbx,4899.66,3499.66,4950.25,3550.25
Tile_+049_+035_L19_0000010t3.fbx,4949.75,3499.66,5000.35,3550.25
Tile_+049_+035_L19_0000020t3.fbx,4899.66,3549.75,4950.25,3600.34
Tile_+049_+035_L19_0000030t3.fbx,4949.75,3549.75,5000.34,3600.34
Tile_+049_+036_L19_0000000t3.fbx,4899.66,3599.66,4950.25,3650.25
Tile_+049_+036_L19_0000010t3.fbx,4949.75,3599.66,5000.34,3650.25
Tile_+049_+036_L19_0000020t3.fbx,4899.66,3649.75,4950.25,3700.34
Tile_+049_+036_L19_0000030t3.fbx,4949.75,3649.75,5000.34,3700.34
Tile_+049_+037_L19_0000000t2.fbx,4944.98,3716.86,5000.34,3765.48
Tile_+049_+037_L19_0000010t4.fbx,4943.12,3710.05,5000.34,3778.5
Tile_+049_+037_L19_0000100t3.fbx,4942.2,3700.42,5000.34,3750.25
Tile_+049_+037_L19_0000110.fbx,4930.55,3749.75,5000.34,3800.34
Tile_+049_+037_L19_0000120t4.fbx,4899.66,3699.61,4950.25,3750.25
Tile_+049_+037_L19_0000130t4.fbx,4949.75,3699.66,5000.34,3750.25
Tile_+049_+037_L19_0000140t4.fbx,4899.66,3749.75,4950.25,3800.34
Tile_+049_+037_L19_0000150t4.fbx,4949.75,3749.75,5000.34,3800.34
Tile_+049_+038_L19_0000000t3.fbx,4899.66,3799.66,4950.25,3850.25
Tile_+049_+038_L19_0000010t3.fbx,4949.75,3799.66,5000.34,3850.25
Tile_+049_+038_L19_0000020t3.fbx,4899.66,3849.75,4950.25,3900.34
Tile_+049_+038_L19_0000030t3.fbx,4949.75,3849.75,5000.34,3900.34
Tile_+049_+039_L19_0000000t2.fbx,4899.66,3941.39,4945.55,3987.75
Tile_+049_+039_L19_0000010t2.fbx,4945.05,3934.96,4984.61,3983.42
Tile_+049_+039_L19_0000020t6.fbx,4899.66,3933.94,4950.25,3996.64
Tile_+049_+039_L19_0000030t3.fbx,4949.75,3930.85,5000.34,3977.41
Tile_+049_+039_L19_0000100t2.fbx,4899.66,3908.52,4975.7,3950.25
Tile_+049_+039_L19_0000110t2.fbx,4899.66,3949.75,4910.79,4000.34
Tile_+049_+039_L19_0000120t2.fbx,4956.2,3949.75,5000.34,3996.98
Tile_+049_+039_L19_0000130t3.fbx,4899.66,3899.66,4950.25,3950.25
Tile_+049_+039_L19_0000140t3.fbx,4949.75,3899.66,5000.34,3950.25
Tile_+049_+039_L19_0000150t3.fbx,4899.66,3949.75,4950.25,4000.34
Tile_+049_+039_L19_0000160t5.fbx,4949.75,3949.75,5000.34,4000.34
Tile_+050_+034_L19_0000000t4.fbx,4999.66,3399.66,5050.25,3450.25
Tile_+050_+034_L19_0000010t6.fbx,5049.75,3399.66,5100.34,3450.25
Tile_+050_+034_L19_0000020t4.fbx,4999.66,3449.75,5050.25,3500.34
Tile_+050_+034_L19_0000030t4.fbx,5049.75,3449.75,5100.34,3500.34
Tile_+050_+035_L19_0000000t3.fbx,4999.66,3499.66,5050.25,3550.25
Tile_+050_+035_L19_0000010t3.fbx,5049.75,3499.66,5100.35,3550.25
Tile_+050_+035_L19_0000020t3.fbx,4999.66,3549.75,5050.25,3600.34
Tile_+050_+035_L19_0000030t3.fbx,5049.75,3549.75,5100.34,3600.34
Tile_+050_+036_L19_0000000t3.fbx,4999.66,3599.65,5050.25,3650.25
Tile_+050_+036_L19_0000010t3.fbx,5049.75,3599.66,5100.34,3650.25
Tile_+050_+036_L19_0000020t3.fbx,4999.66,3649.75,5050.25,3700.34
Tile_+050_+036_L19_0000030t3.fbx,5049.75,3649.75,5100.34,3700.34
Tile_+050_+037_L19_0000000t3.fbx,4999.66,3699.66,5050.25,3750.25
Tile_+050_+037_L19_0000010t3.fbx,5049.75,3699.66,5100.34,3750.25
Tile_+050_+037_L19_0000020t3.fbx,4999.66,3749.75,5050.25,3800.34
Tile_+050_+037_L19_0000030t3.fbx,5049.75,3749.75,5100.34,3800.34
Tile_+050_+038_L19_0000000t3.fbx,4999.66,3799.66,5050.25,3850.25
Tile_+050_+038_L19_0000010t3.fbx,5049.75,3799.66,5100.34,3850.25
Tile_+050_+038_L19_0000020t3.fbx,4999.66,3849.75,5050.25,3900.34
Tile_+050_+038_L19_0000030t3.fbx,5049.75,3849.75,5100.34,3900.34
Tile_+050_+039_L19_0000000t3.fbx,4999.66,3899.66,5050.25,3950.25
